sample_name,OMNIC synthetic protein buffer ATR
wavenumber_cm-1,absorbance
4000.00,0.016929
3998.00,0.016269
3996.00,0.018419
3994.00,0.017771
3992.00,0.018835
3990.00,0.018992
3988.00,0.018233
3986.00,0.016956
3984.00,0.017431
3982.00,0.016884
3980.00,0.018861
3978.00,0.019172
3976.00,0.017404
3974.00,0.016924
3972.00,0.018347
3970.00,0.019477
3968.00,0.018663
3966.00,0.019139
3964.00,0.017767
3962.00,0.019413
3960.00,0.017944
3958.00,0.019344
3956.00,0.019675
3954.00,0.018928
3952.00,0.019187
3950.00,0.020065
3948.00,0.018746
3946.00,0.018922
3944.00,0.018672
3942.00,0.020119
3940.00,0.017926
3938.00,0.018916
3936.00,0.018378
3934.00,0.020746
3932.00,0.019522
3930.00,0.020055
3928.00,0.019144
3926.00,0.018968
3924.00,0.018395
3922.00,0.020250
3920.00,0.020610
3918.00,0.018620
3916.00,0.020689
3914.00,0.019337
3912.00,0.020684
3910.00,0.020575
3908.00,0.021432
3906.00,0.018778
3904.00,0.019510
3902.00,0.020046
3900.00,0.020680
3898.00,0.020175
3896.00,0.020412
3894.00,0.019271
3892.00,0.021384
3890.00,0.019653
3888.00,0.019799
3886.00,0.020456
3884.00,0.019902
3882.00,0.019475
3880.00,0.021718
3878.00,0.019774
3876.00,0.020362
3874.00,0.021276
3872.00,0.021115
3870.00,0.022613
3868.00,0.021804
3866.00,0.019856
3864.00,0.022460
3862.00,0.020761
3860.00,0.020629
3858.00,0.020564
3856.00,0.021612
3854.00,0.021876
3852.00,0.020127
3850.00,0.020115
3848.00,0.020313
3846.00,0.022781
3844.00,0.021656
3842.00,0.021339
3840.00,0.021850
3838.00,0.023061
3836.00,0.021487
3834.00,0.020900
3832.00,0.023171
3830.00,0.023347
3828.00,0.020915
3826.00,0.021653
3824.00,0.023372
3822.00,0.022528
3820.00,0.021126
3818.00,0.021462
3816.00,0.022515
3814.00,0.023454
3812.00,0.021214
3810.00,0.020740
3808.00,0.021002
3806.00,0.022581
3804.00,0.020659
3802.00,0.022907
3800.00,0.021930
3798.00,0.021121
3796.00,0.023031
3794.00,0.023369
3792.00,0.022187
3790.00,0.021198
3788.00,0.023170
3786.00,0.021823
3784.00,0.023579
3782.00,0.021977
3780.00,0.023759
3778.00,0.023718
3776.00,0.022061
3774.00,0.022456
3772.00,0.022490
3770.00,0.023163
3768.00,0.021647
3766.00,0.020992
3764.00,0.022717
3762.00,0.021137
3760.00,0.022070
3758.00,0.022176
3756.00,0.022075
3754.00,0.021179
3752.00,0.023390
3750.00,0.021050
3748.00,0.021580
3746.00,0.022049
3744.00,0.023290
3742.00,0.022766
3740.00,0.022680
3738.00,0.020855
3736.00,0.022274
3734.00,0.023015
3732.00,0.021803
3730.00,0.022311
3728.00,0.020810
3726.00,0.020933
3724.00,0.021885
3722.00,0.022101
3720.00,0.023569
3718.00,0.023314
3716.00,0.021503
3714.00,0.021486
3712.00,0.022618
3710.00,0.021453
3708.00,0.021690
3706.00,0.022515
3704.00,0.021011
3702.00,0.021957
3700.00,0.020417
3698.00,0.022615
3696.00,0.021228
3694.00,0.022399
3692.00,0.020834
3690.00,0.020548
3688.00,0.022634
3686.00,0.021613
3684.00,0.022968
3682.00,0.020948
3680.00,0.023008
3678.00,0.022076
3676.00,0.020280
3674.00,0.020956
3672.00,0.021427
3670.00,0.021558
3668.00,0.020832
3666.00,0.020348
3664.00,0.020016
3662.00,0.020224
3660.00,0.022648
3658.00,0.022477
3656.00,0.021417
3654.00,0.021690
3652.00,0.022295
3650.00,0.021386
3648.00,0.021906
3646.00,0.021055
3644.00,0.020540
3642.00,0.019876
3640.00,0.021728
3638.00,0.021863
3636.00,0.022341
3634.00,0.020744
3632.00,0.021230
3630.00,0.021292
3628.00,0.019851
3626.00,0.020160
3624.00,0.022335
3622.00,0.021957
3620.00,0.022151
3618.00,0.019608
3616.00,0.021292
3614.00,0.022301
3612.00,0.020736
3610.00,0.021699
3608.00,0.021394
3606.00,0.019744
3604.00,0.021583
3602.00,0.021281
3600.00,0.021357
3598.00,0.020865
3596.00,0.022608
3594.00,0.020175
3592.00,0.021899
3590.00,0.022495
3588.00,0.021931
3586.00,0.022402
3584.00,0.021485
3582.00,0.021496
3580.00,0.021977
3578.00,0.021463
3576.00,0.020864
3574.00,0.023108
3572.00,0.021483
3570.00,0.023507
3568.00,0.022501
3566.00,0.020978
3564.00,0.021600
3562.00,0.023353
3560.00,0.023822
3558.00,0.022221
3556.00,0.024424
3554.00,0.023743
3552.00,0.023409
3550.00,0.023548
3548.00,0.024643
3546.00,0.025854
3544.00,0.024146
3542.00,0.025607
3540.00,0.025070
3538.00,0.026484
3536.00,0.026333
3534.00,0.027944
3532.00,0.027018
3530.00,0.027338
3528.00,0.028187
3526.00,0.029362
3524.00,0.027578
3522.00,0.030373
3520.00,0.030584
3518.00,0.030057
3516.00,0.032442
3514.00,0.032871
3512.00,0.031928
3510.00,0.033558
3508.00,0.033410
3506.00,0.033439
3504.00,0.034843
3502.00,0.036889
3500.00,0.037041
3498.00,0.037384
3496.00,0.037075
