sample_name,Reference acrylic coating
wavenumber_cm-1,absorbance
4000.00,0.036534
3998.00,0.036283
3996.00,0.037508
3994.00,0.037769
3992.00,0.037726
3990.00,0.037767
3988.00,0.036934
3986.00,0.039213
3984.00,0.037549
3982.00,0.037492
3980.00,0.038875
3978.00,0.038887
3976.00,0.038948
3974.00,0.039871
3972.00,0.038671
3970.00,0.038124
3968.00,0.039794
3966.00,0.039768
3964.00,0.039912
3962.00,0.039389
3960.00,0.038741
3958.00,0.040737
3956.00,0.039889
3954.00,0.039550
3952.00,0.040052
3950.00,0.040245
3948.00,0.041323
3946.00,0.041125
3944.00,0.040536
3942.00,0.041913
3940.00,0.040695
3938.00,0.040800
3936.00,0.040206
3934.00,0.040654
3932.00,0.041005
3930.00,0.040808
3928.00,0.042162
3926.00,0.040588
3924.00,0.041230
3922.00,0.042553
3920.00,0.041666
3918.00,0.041916
3916.00,0.042262
3914.00,0.042020
3912.00,0.043355
3910.00,0.043549
3908.00,0.042064
3906.00,0.042228
3904.00,0.043082
3902.00,0.042902
3900.00,0.042644
3898.00,0.043436
3896.00,0.044131
3894.00,0.043972
3892.00,0.042250
3890.00,0.042580
3888.00,0.043104
3886.00,0.043306
3884.00,0.044078
3882.00,0.044432
3880.00,0.043119
3878.00,0.044293
3876.00,0.044735
3874.00,0.043967
3872.00,0.044724
3870.00,0.043885
3868.00,0.043606
3866.00,0.044103
3864.00,0.044600
3862.00,0.043553
3860.00,0.043791
3858.00,0.043924
3856.00,0.045057
3854.00,0.045941
3852.00,0.044716
3850.00,0.044421
3848.00,0.045931
3846.00,0.046224
3844.00,0.045388
3842.00,0.045262
3840.00,0.045682
3838.00,0.045791
3836.00,0.045439
3834.00,0.045987
3832.00,0.046563
3830.00,0.045184
3828.00,0.044762
3826.00,0.045232
3824.00,0.046959
3822.00,0.046125
3820.00,0.045576
3818.00,0.045544
3816.00,0.047279
3814.00,0.045858
3812.00,0.046189
3810.00,0.045289
3808.00,0.046240
3806.00,0.047006
3804.00,0.047027
3802.00,0.045561
3800.00,0.045860
3798.00,0.046023
3796.00,0.045772
3794.00,0.046920
3792.00,0.046620
3790.00,0.046571
3788.00,0.045868
3786.00,0.045551
3784.00,0.046397
3782.00,0.046087
3780.00,0.047610
3778.00,0.045924
3776.00,0.045927
3774.00,0.045948
3772.00,0.046973
3770.00,0.047620
3768.00,0.047423
3766.00,0.047359
3764.00,0.045600
3762.00,0.045320
3760.00,0.045877
3758.00,0.045429
3756.00,0.046638
3754.00,0.047383
3752.00,0.045876
3750.00,0.046925
3748.00,0.047196
3746.00,0.047317
3744.00,0.045910
3742.00,0.046209
3740.00,0.046491
3738.00,0.046891
3736.00,0.045064
3734.00,0.046905
3732.00,0.045647
3730.00,0.047195
3728.00,0.045082
3726.00,0.045074
3724.00,0.044913
3722.00,0.045993
3720.00,0.044849
3718.00,0.045985
3716.00,0.045414
3714.00,0.046783
3712.00,0.045176
3710.00,0.046727
3708.00,0.046564
3706.00,0.044891
3704.00,0.045927
3702.00,0.045882
3700.00,0.045701
