sample_name,Reference epoxy resin
wavenumber_cm-1,absorbance
4000.00,0.051739
3998.00,0.053039
3996.00,0.051271
3994.00,0.053930
3992.00,0.051751
3990.00,0.053027
3988.00,0.051782
3986.00,0.051533
3984.00,0.053341
3982.00,0.051864
3980.00,0.052851
3978.00,0.054312
3976.00,0.052634
3974.00,0.053535
3972.00,0.053680
3970.00,0.053134
3968.00,0.055352
3966.00,0.055658
3964.00,0.053402
3962.00,0.055987
3960.00,0.055276
3958.00,0.056197
3956.00,0.054332
3954.00,0.056624
3952.00,0.057666
3950.00,0.056888
3948.00,0.055443
3946.00,0.057047
3944.00,0.056747
3942.00,0.057067
3940.00,0.056979
3938.00,0.056243
3936.00,0.057449
3934.00,0.058060
3932.00,0.059029
3930.00,0.057595
3928.00,0.059114
3926.00,0.059229
3924.00,0.058291
3922.00,0.059570
3920.00,0.059442
3918.00,0.058180
3916.00,0.060222
3914.00,0.059270
3912.00,0.059992
3910.00,0.060798
3908.00,0.060190
3906.00,0.058376
3904.00,0.061269
3902.00,0.060781
3900.00,0.060963
3898.00,0.060308
3896.00,0.061156
3894.00,0.059879
3892.00,0.060933
3890.00,0.061188
3888.00,0.062639
3886.00,0.060804
3884.00,0.061342
3882.00,0.062512
3880.00,0.061921
3878.00,0.062647
3876.00,0.061191
3874.00,0.062327
3872.00,0.063221
3870.00,0.062853
3868.00,0.062979
3866.00,0.062001
3864.00,0.063790
3862.00,0.061089
3860.00,0.064329
3858.00,0.061773
3856.00,0.064416
3854.00,0.063287
3852.00,0.064092
3850.00,0.064805
3848.00,0.062821
3846.00,0.062453
3844.00,0.062741
3842.00,0.062926
3840.00,0.061876
3838.00,0.064154
3836.00,0.063313
3834.00,0.063067
3832.00,0.063033
3830.00,0.063442
3828.00,0.065267
3826.00,0.063919
3824.00,0.063905
3822.00,0.063225
3820.00,0.064970
3818.00,0.064943
3816.00,0.066049
3814.00,0.065081
3812.00,0.065948
3810.00,0.065565
3808.00,0.065418
3806.00,0.063146
3804.00,0.064442
3802.00,0.064290
3800.00,0.064058
3798.00,0.066453
3796.00,0.066481
3794.00,0.064926
3792.00,0.065271
3790.00,0.065025
3788.00,0.064642
3786.00,0.065306
3784.00,0.065279
3782.00,0.064299
3780.00,0.064834
3778.00,0.064799
3776.00,0.063785
3774.00,0.063782
3772.00,0.065651
3770.00,0.066000
3768.00,0.063551
3766.00,0.065125
3764.00,0.063462
3762.00,0.064754
3760.00,0.064448
3758.00,0.066052
3756.00,0.064766
3754.00,0.064382
3752.00,0.064976
3750.00,0.065924
3748.00,0.063568
3746.00,0.066048
3744.00,0.064743
3742.00,0.066088
3740.00,0.065210
3738.00,0.064763
3736.00,0.063874
3734.00,0.064454
3732.00,0.063735
3730.00,0.065908
3728.00,0.063384
3726.00,0.063764
3724.00,0.064318
3722.00,0.065382
3720.00,0.062900
3718.00,0.062240
3716.00,0.065209
3714.00,0.063766
3712.00,0.063293
3710.00,0.062712
3708.00,0.065183
3706.00,0.064584
3704.00,0.064463
3702.00,0.063045
3700.00,0.063737
3698.00,0.063173
3696.00,0.064521
3694.00,0.062755
3692.00,0.061567
3690.00,0.062730
