sample_name,Reference polyurethane
wavenumber_cm-1,absorbance
4000.00,0.049187
3998.00,0.048509
3996.00,0.048410
3994.00,0.049227
3992.00,0.050491
3990.00,0.049774
3988.00,0.049819
3986.00,0.050762
3984.00,0.050873
3982.00,0.049157
3980.00,0.049442
3978.00,0.049417
3976.00,0.049728
3974.00,0.050955
3972.00,0.052035
3970.00,0.052940
3968.00,0.051593
3966.00,0.051823
3964.00,0.053035
3962.00,0.051885
3960.00,0.053453
3958.00,0.052683
3956.00,0.053681
3954.00,0.051939
3952.00,0.053020
3950.00,0.054637
3948.00,0.051857
3946.00,0.054261
3944.00,0.052340
3942.00,0.054927
3940.00,0.054773
3938.00,0.053593
3936.00,0.054930
3934.00,0.053786
3932.00,0.053991
3930.00,0.055309
3928.00,0.055922
3926.00,0.055969
3924.00,0.055716
3922.00,0.055586
3920.00,0.054075
3918.00,0.056565
3916.00,0.055165
3914.00,0.055902
3912.00,0.054722
3910.00,0.054933
3908.00,0.057653
3906.00,0.058181
3904.00,0.056490
3902.00,0.058104
3900.00,0.058304
3898.00,0.056918
3896.00,0.057447
3894.00,0.058924
3892.00,0.057386
3890.00,0.058635
3888.00,0.057801
3886.00,0.057479
3884.00,0.056557
3882.00,0.057892
3880.00,0.056833
3878.00,0.059878
3876.00,0.058622
3874.00,0.058771
3872.00,0.059690
3870.00,0.057935
3868.00,0.060326
3866.00,0.059207
3864.00,0.057931
3862.00,0.060027
3860.00,0.058100
3858.00,0.058056
3856.00,0.058032
3854.00,0.059433
3852.00,0.059945
3850.00,0.061414
3848.00,0.060547
3846.00,0.060641
3844.00,0.061423
3842.00,0.059776
3840.00,0.059769
3838.00,0.059805
3836.00,0.061916
3834.00,0.060150
3832.00,0.061535
3830.00,0.061288
3828.00,0.062144
3826.00,0.059264
3824.00,0.061178
3822.00,0.061095
3820.00,0.061248
3818.00,0.060166
3816.00,0.060575
3814.00,0.059470
3812.00,0.059904
3810.00,0.059707
3808.00,0.062019
3806.00,0.061416
3804.00,0.061649
3802.00,0.061800
3800.00,0.061325
3798.00,0.062529
3796.00,0.062054
3794.00,0.061326
3792.00,0.060585
3790.00,0.062463
3788.00,0.062966
3786.00,0.062357
3784.00,0.060112
3782.00,0.062790
3780.00,0.062621
3778.00,0.062345
3776.00,0.061303
3774.00,0.061060
3772.00,0.061804
3770.00,0.061343
3768.00,0.061008
3766.00,0.062644
3764.00,0.059998
3762.00,0.061620
3760.00,0.060131
3758.00,0.060899
3756.00,0.062904
3754.00,0.061202
3752.00,0.061574
3750.00,0.061147
3748.00,0.061301
3746.00,0.061403
3744.00,0.061635
3742.00,0.062045
3740.00,0.061438
3738.00,0.061949
3736.00,0.060895
3734.00,0.061790
3732.00,0.062219
3730.00,0.061143
3728.00,0.060789
3726.00,0.059638
3724.00,0.060747
3722.00,0.059438
3720.00,0.061325
3718.00,0.059658
3716.00,0.059842
3714.00,0.059681
3712.00,0.059081
3710.00,0.059330
3708.00,0.058573
3706.00,0.058684
3704.00,0.060879
3702.00,0.061255
3700.00,0.061372
3698.00,0.060483
3696.00,0.059499
3694.00,0.058689
3692.00,0.058111
3690.00,0.059529
3688.00,0.059309
3686.00,0.060751
3684.00,0.059616
3682.00,0.060652
3680.00,0.058719
3678.00,0.060001
3676.00,0.058821
3674.00,0.059571
3672.00,0.058696
3670.00,0.059036
3668.00,0.059306
3666.00,0.058977
3664.00,0.058417
3662.00,0.058245
3660.00,0.059105
3658.00,0.058845
3656.00,0.059238
3654.00,0.056536
3652.00,0.056620
3650.00,0.056057
3648.00,0.058658
3646.00,0.057379
3644.00,0.058371
3642.00,0.058496
3640.00,0.058677
3638.00,0.056901
3636.00,0.056217
3634.00,0.057582
3632.00,0.057842
3630.00,0.055469
3628.00,0.055271
3626.00,0.056416
3624.00,0.057316
3622.00,0.056283
3620.00,0.057957
3618.00,0.054986
3616.00,0.056385
3614.00,0.054757
3612.00,0.057358
3610.00,0.056404
3608.00,0.055596
3606.00,0.057270
3604.00,0.057673
3602.00,0.057292
3600.00,0.057381
3598.00,0.057794
3596.00,0.056532
3594.00,0.055316
3592.00,0.056550
