x_nm,y_nm,O1s_atomic_percent
0.0000,0.0000,37.685368
0.2500,0.0000,36.660377
0.5000,0.0000,36.828722
0.7500,0.0000,36.439817
1.0000,0.0000,35.228904
1.2500,0.0000,37.711488
1.5000,0.0000,35.821652
1.7500,0.0000,36.314748
2.0000,0.0000,36.451750
2.2500,0.0000,36.420393
2.5000,0.0000,37.193659
2.7500,0.0000,38.859973
3.0000,0.0000,37.039508
3.2500,0.0000,36.078327
3.5000,0.0000,35.984866
3.7500,0.0000,37.714777
4.0000,0.0000,37.858963
4.2500,0.0000,36.449281
4.5000,0.0000,37.927237
4.7500,0.0000,39.082470
5.0000,0.0000,38.245805
5.2500,0.0000,35.765011
5.5000,0.0000,37.986739
5.7500,0.0000,38.040655
6.0000,0.0000,36.110947
6.2500,0.0000,35.734760
6.5000,0.0000,36.603106
6.7500,0.0000,35.315104
7.0000,0.0000,37.114442
7.2500,0.0000,38.213976
7.5000,0.0000,35.251588
7.7500,0.0000,37.729446
8.0000,0.0000,36.890752
8.2500,0.0000,39.416461
8.5000,0.0000,39.810453
8.7500,0.0000,39.098293
9.0000,0.0000,36.635513
9.2500,0.0000,36.693105
9.5000,0.0000,35.165680
9.7500,0.0000,35.907470
10.0000,0.0000,39.455565
10.2500,0.0000,36.760805
10.5000,0.0000,38.555757
10.7500,0.0000,35.644885
11.0000,0.0000,38.828248
11.2500,0.0000,38.050085
11.5000,0.0000,36.963396
11.7500,0.0000,36.835256
12.0000,0.0000,39.191737
12.2500,0.0000,35.175784
12.5000,0.0000,35.559716
12.7500,0.0000,36.079181
13.0000,0.0000,37.403409
13.2500,0.0000,37.352540
13.5000,0.0000,35.822081
13.7500,0.0000,36.831509
14.0000,0.0000,38.272682
14.2500,0.0000,38.142008
14.5000,0.0000,35.239638
14.7500,0.0000,39.101818
15.0000,0.0000,38.054132
15.2500,0.0000,39.412515
15.5000,0.0000,35.843403
15.7500,0.0000,39.265313
16.0000,0.0000,36.708997
16.2500,0.0000,35.503200
16.5000,0.0000,35.751458
16.7500,0.0000,39.148424
17.0000,0.0000,37.943597
17.2500,0.0000,36.774955
17.5000,0.0000,39.931193
17.7500,0.0000,35.507218
18.0000,0.0000,37.898606
18.2500,0.0000,39.040427
18.5000,0.0000,36.354048
18.7500,0.0000,39.643610
19.0000,0.0000,37.126381
19.2500,0.0000,36.239574
19.5000,0.0000,35.536980
