z_distance_nm,force_nN
-120.0,-1.9359325391853432
-119.5,-1.7959473879978485
-119.0,-1.7735315704621657
-118.5,-1.9332090164199054
-118.0,-1.7943333741792902
-117.5,-1.7009292044765452
-117.0,-1.649350322290794
-116.5,-1.6718340291629963
-116.0,-1.8879254236231355
-115.5,-1.6659502767894494
-115.0,-1.7494681995412864
-114.5,-1.761950078231604
-114.0,-1.6118007273664319
-113.5,-1.6490619698242466
-113.0,-1.7078023425572932
-112.5,-1.6521498733588473
-112.0,-1.6291565551346305
-111.5,-1.6912639209001334
-111.0,-1.5928406884291362
-110.5,-1.6533892417737366
-110.0,-1.5968957610120462
-109.5,-1.6961126304888314
-109.0,-1.709020729746855
-108.5,-1.551699564146326
-108.0,-1.6226114724854839
-107.5,-1.5866545256621993
-107.0,-1.6474662732893937
-106.5,-1.6866802491427502
-106.0,-1.4900052352346134
-105.5,-1.5358990548804183
-105.0,-1.5564202894004555
-104.5,-1.5379858226723129
-104.0,-1.6484409389025796
-103.5,-1.4988303175898088
-103.0,-1.6503116065110386
-102.5,-1.515247686134947
-102.0,-1.4609584373496973
-101.5,-1.4814529231199904
-101.0,-1.4834190037710386
-100.5,-1.4423501759722386
-100.0,-1.474697748697268
-99.5,-1.6125114382846595
-99.0,-1.5059064591280074
-98.5,-1.5023317712745747
-98.0,-1.417352928842955
-97.5,-1.628813267832335
-97.0,-1.5285116176346847
-96.5,-1.406576637029747
-96.0,-1.4707745885616805
-95.5,-1.4902282583829756
-95.0,-1.4807307231410745
-94.5,-1.366090858826424
-94.0,-1.450263569370754
-93.5,-1.3604077063675086
-93.0,-1.2999671514297604
-92.5,-1.3073714782543422
-92.0,-1.3207056368734278
-91.5,-1.3826609964768388
-91.0,-1.3504790350937117
-90.5,-1.3193060111830377
-90.0,-1.249538500110611
-89.5,-1.3083514869750132
-89.0,-1.3970454789639315
-88.5,-1.31771296859937
-88.0,-1.3230973675467919
-87.5,-1.2010961239918787
-87.0,-1.2192767220487277
-86.5,-1.31393477732982
-86.0,-1.2836257543285914
-85.5,-1.2500382831681536
-85.0,-1.3145484098496738
-84.5,-1.1970874776911262
-84.0,-1.1815964061269741
-83.5,-1.2701410771945367
-83.0,-1.254865303132523
-82.5,-1.1705103303002873
-82.0,-1.2072333654077545
-81.5,-1.1388298767049294
-81.0,-1.1383698819390982
-80.5,-1.2668985334253484
-80.0,-1.3192811309549994
-79.5,-1.0832421408641215
-79.0,-1.1905829503567684
-78.5,-1.1209651667435705
-78.0,-1.1852372320080462
-77.5,-1.2723245273177572
-77.0,-1.3052054674477276
-76.5,-1.1401580727260952
-76.0,-1.174944700638483
-75.5,-1.0800678835054245
-75.0,-1.2529153416417746
-74.5,-1.0197276283341166
-74.0,-1.0604025704998756
-73.5,-1.1502952445381502
-73.0,-1.0166180258664084
-72.5,-1.0092947307915747
-72.0,-1.323723272306699
-71.5,-1.143428634426624
-71.0,-1.1880806194847933
-70.5,-0.9959873838223324
-70.0,-1.0508209138247677
-69.5,-0.9810914742883932
-69.0,-0.9423394849813338
-68.5,-1.0914925860270615
-68.0,-0.9055563151444401
-67.5,-1.1393006257203802
-67.0,-1.0909772789647023
-66.5,-0.9737138613359922
-66.0,-0.9379205262946219
-65.5,-0.8896349557150793
-65.0,-0.9743442841028567
-64.5,-0.9268698795033115
-64.0,-1.0539803354277
-63.5,-1.0255847976053087
-63.0,-0.9399237976640177
-62.5,-1.0053590012714404
-62.0,-0.971996467963626
-61.5,-0.9736815600945532
-61.0,-1.0037548998793284
-60.5,-0.8826039795136627
-60.0,-0.8257211202762516
-59.5,-0.9086883011085817
-59.0,-0.9138582984789856
-58.5,-0.870649090259964
-58.0,-0.8471150465878786
-57.5,-0.7087988075557732
-57.0,-0.9961382933132308
-56.5,-0.9663466920860243
-56.0,-0.8852376328006508
-55.5,-0.7831782983754791
-55.0,-0.7841371579569574
-54.5,-0.9294464508607446
-54.0,-0.8982158530061344
-53.5,-0.8064225339212948
-53.0,-0.9504196910594475
-52.5,-0.8370919274249465
-52.0,-0.8285316387516278
-51.5,-0.9585806641395541
-51.0,-0.8256012771416046
-50.5,-0.8435802162019366
-50.0,-0.8964599625156009
-49.5,-1.0495464817058828
-49.0,-0.902511923447963
-48.5,-0.8532460035380618
-48.0,-0.9572102178542762
-47.5,-0.9587676826041938
-47.0,-0.9301237569577027
-46.5,-0.9993482540202006
-46.0,-0.9653383400364068
-45.5,-0.9875249010470003
-45.0,-1.0475442870833962
-44.5,-0.9163630817378192
-44.0,-1.0142578269735227
-43.5,-0.9885732750268292
-43.0,-1.0466878300109201
-42.5,-1.1268473765799474
-42.0,-1.188236988367618
-41.5,-1.1083376558047193
-41.0,-1.3389519737968745
-40.5,-1.2338503694940932
-40.0,-1.297903286447504
-39.5,-1.3746163526160733
-39.0,-1.3395933503721686
-38.5,-1.501514326605081
-38.0,-1.5437853190147492
-37.5,-1.585262627121516
-37.0,-1.5538459372172837
-36.5,-1.7120972626860502
-36.0,-1.7250180131263781
-35.5,-1.819448189107812
-35.0,-1.7984331616654634
-34.5,-1.8136983861161249
-34.0,-2.0688281041620313
-33.5,-1.9829350614667323
-33.0,-2.0885135191215864
-32.5,-2.180055188398056
-32.0,-2.155685550915648
-31.5,-2.091374516639024
-31.0,-2.3351383471571676
-30.5,-2.340238357261719
-30.0,-2.3066839912496095
-29.5,-2.404442118140961
-29.0,-2.471301913052688
-28.5,-2.5213810770378275
-28.0,-2.62414426091497
-27.5,-2.5957369468198266
-27.0,-2.8282639253486925
-26.5,-2.4539672872617504
-26.0,-2.696144025809128
-25.5,-2.6438223037416875
-25.0,-2.6895690674878066
-24.5,-2.814825511985933
-24.0,-2.7713392295523147
-23.5,-2.8931854347749812
-23.0,-2.930681280024202
-22.5,-2.740901018073524
-22.0,-2.819997098233525
-21.5,-2.7292759995434848
-21.0,-2.782038278378931
-20.5,-2.796957613777347
-20.0,-2.6903409784768315
-19.5,-2.655547870242043
-19.0,-2.6416265277618303
-18.5,-2.583207140729249
-18.0,-2.4624026019679714
-17.5,-2.5484693607917692
-17.0,-2.487610216436575
-16.5,-2.4416018230485377
-16.0,-2.421354681085463
-15.5,-2.244041647556602
-15.0,-2.1918898456274722
-14.5,-2.072903479970949
-14.0,-2.1892721715586925
-13.5,-2.043316203069422
-13.0,-1.941142801360378
-12.5,-1.9610467522936332
-12.0,-1.7949301004231792
-11.5,-1.7302144733721792
-11.0,-1.7177940633145483
-10.5,-1.726003784962403
-10.0,-1.516667060007423
-9.5,-1.375568830392027
-9.0,-1.3803753748003589
-8.5,-1.2685873049920966
-8.0,-1.0754190141690532
-7.5,-1.050476520466156
-7.0,-1.1274170767837919
-6.5,-0.9141660729505481
-6.0,-0.9958048375282553
-5.5,-0.6792130810257464
-5.0,-0.6870670441119948
-4.5,-0.5952874725009071
-4.0,-0.5482592520763407
-3.5,-0.5598093927580761
-3.0,-0.3745650079628521
-2.5,-0.3393571336602616
-2.0,-0.3170432438633654
-1.5,-0.2975472229454961
-1.0,-0.1502882393224382
-0.5,-0.03705484398843001
0.0,-0.21304886887518418
0.5,0.0366724964720864
1.0,0.13098498423847832
1.5,0.14232826526427622
2.0,0.12302980615480358
2.5,0.31285260443939644
3.0,0.26252896385062696
3.5,0.4442512667360782
4.0,0.41208870882582715
4.5,0.512730182862809
5.0,0.6138734229464092
5.5,0.5257556921959575
6.0,0.769460264133271
6.5,0.6465043239408
7.0,0.7332698860752902
7.5,0.9729643278182646
8.0,0.9598900251096271
8.5,1.0062579517494545
9.0,1.0273206207008634
9.5,1.1992180146023736
10.0,1.3022158355593039
10.5,1.4282487140552216
11.0,1.3469798637971786
11.5,1.503224627376312
12.0,1.5521003377109965
12.5,1.708565545196589
13.0,1.8490662856665745
13.5,1.9285558866532204
14.0,1.963734196346153
14.5,1.7847369222691634
15.0,2.203302618358609
15.5,2.2901291601990574
16.0,2.459137573830431
16.5,2.5021670328322285
17.0,2.6446475338423325
17.5,2.8070761282316496
18.0,2.8780874776474668
18.5,2.8057865018654873
19.0,3.1343065657855655
19.5,3.342342750811124
20.0,3.1426880494758698
20.5,3.349568886788283
21.0,3.381561501290311
21.5,3.5201002284566645
22.0,3.7102277670172685
22.5,3.8539206799247214
23.0,3.994515100457146
23.5,4.039480265711688
24.0,4.0439276678486955
24.5,4.171509700630367
25.0,4.370318431780748
25.5,4.409934323798745
26.0,4.622826864787725
26.5,4.746447411064372
27.0,4.6640143447251985
27.5,4.858069919543633
28.0,4.955436280914639
28.5,5.015599453851484
29.0,5.169863464617386
29.5,5.280238156049128
30.0,5.273352268892611
30.5,5.317359655368078
31.0,5.490120662613952
31.5,5.4664732496602575
32.0,5.460709731497853
32.5,5.466774817268665
33.0,5.845267867822491
33.5,5.652012684338568
34.0,5.877744773777168
34.5,5.853390133786714
35.0,5.792520698539813
35.5,6.0175859542493955
36.0,5.9820427117256845
36.5,5.981910972491308
37.0,6.073816865946612
37.5,6.111842481631871
38.0,6.120832268379775
38.5,6.13441233059255
39.0,6.330159654052614
39.5,6.311910787045282
40.0,6.401096411187947
40.5,6.217562418127908
41.0,6.435861948746545
41.5,6.3185420382927635
42.0,6.45877649234278
42.5,6.409062233011387
43.0,6.48130225865099
43.5,6.401475745187497
44.0,6.548178385528224
44.5,6.47150486417343
45.0,6.451524189577573
45.5,6.601840256505025
46.0,6.52690060465626
46.5,6.571961192774053
47.0,6.695701889736985
47.5,6.671197504205361
48.0,6.636419785897448
48.5,6.784379669326367
49.0,6.670469791444215
49.5,6.576793651723364
50.0,6.465783534434071
50.5,6.822492951549316
51.0,6.822975074840744
51.5,6.799977172607186
52.0,6.790491227867386
52.5,6.692996466325658
53.0,6.560492743205992
53.5,6.734627575102532
54.0,6.70654291825562
54.5,6.786499539306824
55.0,6.624147652672587
55.5,6.759790175508845
56.0,6.912906649640367
56.5,6.832221997488405
57.0,6.970926936017122
57.5,7.015157988953616
58.0,6.869106141083823
58.5,6.892999188205075
59.0,6.949135801473144
59.5,6.88533198910205
60.0,7.05430465579574
