x_nm,y_nm,height_nm
0.0000,0.0000,1.631022
4.0000,0.0000,-0.423218
8.0000,0.0000,-0.926731
12.0000,0.0000,-2.320232
16.0000,0.0000,0.693853
20.0000,0.0000,-0.032169
24.0000,0.0000,1.006576
28.0000,0.0000,-0.183926
32.0000,0.0000,0.162170
36.0000,0.0000,1.010142
40.0000,0.0000,-0.398356
44.0000,0.0000,0.192514
48.0000,0.0000,0.526120
52.0000,0.0000,3.427627
56.0000,0.0000,3.161084
60.0000,0.0000,1.591184
64.0000,0.0000,0.310369
68.0000,0.0000,0.533544
72.0000,0.0000,1.313960
76.0000,0.0000,0.641517
80.0000,0.0000,4.663154
84.0000,0.0000,1.055512
88.0000,0.0000,2.557202
92.0000,0.0000,3.860581
96.0000,0.0000,2.331440
100.0000,0.0000,3.978554
104.0000,0.0000,5.957664
108.0000,0.0000,1.345385
112.0000,0.0000,5.905312
116.0000,0.0000,5.628449
120.0000,0.0000,4.996459
124.0000,0.0000,3.625803
128.0000,0.0000,4.504215
132.0000,0.0000,5.336519
136.0000,0.0000,1.602499
140.0000,0.0000,4.226442
144.0000,0.0000,5.898832
148.0000,0.0000,4.537244
152.0000,0.0000,4.556262
156.0000,0.0000,6.817537
160.0000,0.0000,2.171704
164.0000,0.0000,4.715413
168.0000,0.0000,2.598784
172.0000,0.0000,7.624789
176.0000,0.0000,3.890095
180.0000,0.0000,6.485101
184.0000,0.0000,2.283481
188.0000,0.0000,6.448230
192.0000,0.0000,3.016387
196.0000,0.0000,6.894324
200.0000,0.0000,2.889475
204.0000,0.0000,6.235714
208.0000,0.0000,9.254576
212.0000,0.0000,10.409201
216.0000,0.0000,7.551964
220.0000,0.0000,9.271871
224.0000,0.0000,6.656776
228.0000,0.0000,6.614980
232.0000,0.0000,7.304129
236.0000,0.0000,6.403656
240.0000,0.0000,9.274168
244.0000,0.0000,5.100371
248.0000,0.0000,6.711413
252.0000,0.0000,8.392612
256.0000,0.0000,10.849976
260.0000,0.0000,50.180425
264.0000,0.0000,52.085386
268.0000,0.0000,50.607281
272.0000,0.0000,48.703906
