x_nm,y_nm,height_nm
0.0000,0.0000,0.218479
4.0000,0.0000,0.298161
8.0000,0.0000,-0.528312
12.0000,0.0000,-0.007477
16.0000,0.0000,0.548462
20.0000,0.0000,-0.511128
24.0000,0.0000,0.085677
28.0000,0.0000,0.440036
32.0000,0.0000,-1.230541
36.0000,0.0000,0.703134
40.0000,0.0000,-0.072577
44.0000,0.0000,0.000393
48.0000,0.0000,-0.776751
52.0000,0.0000,0.715909
56.0000,0.0000,0.114002
60.0000,0.0000,-0.786510
64.0000,0.0000,-1.316882
68.0000,0.0000,-0.543221
72.0000,0.0000,0.560395
76.0000,0.0000,0.231001
80.0000,0.0000,0.476455
84.0000,0.0000,-1.464089
88.0000,0.0000,-0.896950
92.0000,0.0000,-0.777041
96.0000,0.0000,0.258785
100.0000,0.0000,0.100168
104.0000,0.0000,-0.889008
108.0000,0.0000,1.379837
112.0000,0.0000,-0.301941
116.0000,0.0000,-0.572638
120.0000,0.0000,-0.071793
124.0000,0.0000,-0.112949
128.0000,0.0000,0.385517
132.0000,0.0000,1.284249
136.0000,0.0000,0.594642
140.0000,0.0000,-1.033795
144.0000,0.0000,0.212420
148.0000,0.0000,0.841908
152.0000,0.0000,-0.399461
156.0000,0.0000,0.385994
160.0000,0.0000,-0.599019
164.0000,0.0000,-0.041210
168.0000,0.0000,-0.864494
172.0000,0.0000,-0.073252
176.0000,0.0000,-0.405292
180.0000,0.0000,0.052683
184.0000,0.0000,-0.109040
188.0000,0.0000,0.198126
192.0000,0.0000,0.002850
196.0000,0.0000,0.104187
200.0000,0.0000,-0.229146
204.0000,0.0000,0.084472
208.0000,0.0000,0.661833
212.0000,0.0000,-0.579905
216.0000,0.0000,-0.373015
220.0000,0.0000,0.406506
224.0000,0.0000,0.914633
228.0000,0.0000,0.419692
232.0000,0.0000,0.409888
236.0000,0.0000,0.645953
240.0000,0.0000,-0.452156
244.0000,0.0000,-0.160727
248.0000,0.0000,-0.234444
252.0000,0.0000,-0.387720
256.0000,0.0000,-1.206463
260.0000,0.0000,-0.341295
264.0000,0.0000,-1.063372
268.0000,0.0000,0.697972
272.0000,0.0000,-1.047202
276.0000,0.0000,0.128273
280.0000,0.0000,1.132064
284.0000,0.0000,-0.386642
288.0000,0.0000,0.581734
292.0000,0.0000,-0.551099
296.0000,0.0000,-0.544715
300.0000,0.0000,1.235051
304.0000,0.0000,-0.116285
308.0000,0.0000,0.943005
312.0000,0.0000,0.888003
316.0000,0.0000,-0.623647
320.0000,0.0000,0.400713
324.0000,0.0000,0.224588
328.0000,0.0000,0.117183
332.0000,0.0000,0.053682
336.0000,0.0000,-0.743932
340.0000,0.0000,1.595029
344.0000,0.0000,0.419947
348.0000,0.0000,-1.522184
352.0000,0.0000,-0.592283
356.0000,0.0000,0.880139
360.0000,0.0000,-0.185570
364.0000,0.0000,-0.216656
368.0000,0.0000,0.132996
372.0000,0.0000,-0.143682
376.0000,0.0000,-0.232113
380.0000,0.0000,-1.080105
384.0000,0.0000,0.179743
388.0000,0.0000,1.599919
392.0000,0.0000,-1.144298
396.0000,0.0000,0.412930
400.0000,0.0000,-0.524482
404.0000,0.0000,0.270477
408.0000,0.0000,0.566797
412.0000,0.0000,-0.027677
416.0000,0.0000,0.498586
420.0000,0.0000,0.842909
424.0000,0.0000,0.263691
428.0000,0.0000,0.976972
432.0000,0.0000,-0.287716
436.0000,0.0000,-1.528551
440.0000,0.0000,0.265400
444.0000,0.0000,0.341103
448.0000,0.0000,-0.422363
452.0000,0.0000,0.631080
456.0000,0.0000,-0.317226
460.0000,0.0000,-0.571505
464.0000,0.0000,0.099690
468.0000,0.0000,-0.120648
472.0000,0.0000,-0.090843
476.0000,0.0000,0.006810
480.0000,0.0000,0.940159
484.0000,0.0000,-0.274321
488.0000,0.0000,-1.405376
492.0000,0.0000,-0.511808
496.0000,0.0000,0.699010
500.0000,0.0000,-0.175238
504.0000,0.0000,-0.424278
508.0000,0.0000,-0.191210
0.0000,4.0000,-0.013407
4.0000,4.0000,-0.265642
8.0000,4.0000,-0.627287
12.0000,4.0000,0.086545
16.0000,4.0000,-0.187583
20.0000,4.0000,-0.100668
24.0000,4.0000,0.235511
28.0000,4.0000,0.076785
32.0000,4.0000,-0.164796
36.0000,4.0000,-0.537323
40.0000,4.0000,1.040751
44.0000,4.0000,-0.062551
48.0000,4.0000,-0.009395
52.0000,4.0000,0.911627
56.0000,4.0000,0.271480
60.0000,4.0000,1.270130
64.0000,4.0000,0.068535
68.0000,4.0000,-1.150022
72.0000,4.0000,-1.240649
76.0000,4.0000,0.782960
80.0000,4.0000,-0.454127
84.0000,4.0000,0.459605
88.0000,4.0000,-0.791813
92.0000,4.0000,-0.125312
96.0000,4.0000,0.796284
100.0000,4.0000,0.312345
104.0000,4.0000,-0.267164
108.0000,4.0000,-0.382268
112.0000,4.0000,0.597304
116.0000,4.0000,-0.402842
120.0000,4.0000,-0.647583
124.0000,4.0000,-0.760617
128.0000,4.0000,1.684994
132.0000,4.0000,0.621599
136.0000,4.0000,0.590458
140.0000,4.0000,0.425170
144.0000,4.0000,-0.668930
148.0000,4.0000,-0.115982
152.0000,4.0000,0.420402
156.0000,4.0000,-0.490207
160.0000,4.0000,0.269804
164.0000,4.0000,-1.919514
168.0000,4.0000,0.504104
172.0000,4.0000,0.632685
176.0000,4.0000,-1.067413
180.0000,4.0000,0.215788
184.0000,4.0000,0.808937
188.0000,4.0000,0.211295
192.0000,4.0000,-0.199843
196.0000,4.0000,0.181410
200.0000,4.0000,-0.261334
204.0000,4.0000,0.445385
208.0000,4.0000,-0.615690
212.0000,4.0000,-0.215016
216.0000,4.0000,-1.547070
220.0000,4.0000,-0.554575
224.0000,4.0000,0.066699
228.0000,4.0000,0.467979
232.0000,4.0000,-0.421910
236.0000,4.0000,0.118449
240.0000,4.0000,-1.419707
244.0000,4.0000,-0.044206
248.0000,4.0000,-0.363509
252.0000,4.0000,1.193609
256.0000,4.0000,0.304539
260.0000,4.0000,-0.917527
264.0000,4.0000,0.291395
268.0000,4.0000,-0.767682
272.0000,4.0000,0.617106
276.0000,4.0000,0.046738
280.0000,4.0000,-0.838277
284.0000,4.0000,0.484056
288.0000,4.0000,-0.258472
292.0000,4.0000,0.363142
296.0000,4.0000,0.973900
300.0000,4.0000,-0.520829
304.0000,4.0000,-0.040887
308.0000,4.0000,0.470330
312.0000,4.0000,-0.156590
316.0000,4.0000,0.094457
320.0000,4.0000,-0.555834
324.0000,4.0000,1.524916
328.0000,4.0000,0.641649
332.0000,4.0000,-0.553037
336.0000,4.0000,0.925231
340.0000,4.0000,0.283237
344.0000,4.0000,-0.327023
348.0000,4.0000,-0.850712
352.0000,4.0000,-0.735948
356.0000,4.0000,0.655800
360.0000,4.0000,1.299016
364.0000,4.0000,-0.911463
368.0000,4.0000,0.241076
372.0000,4.0000,-1.308410
376.0000,4.0000,0.194015
380.0000,4.0000,0.012890
384.0000,4.0000,-0.171370
388.0000,4.0000,0.707098
392.0000,4.0000,0.603859
396.0000,4.0000,-0.466162
400.0000,4.0000,-0.298866
404.0000,4.0000,-0.101653
408.0000,4.0000,0.274805
412.0000,4.0000,0.377458
416.0000,4.0000,0.289384
420.0000,4.0000,-0.275524
424.0000,4.0000,0.668313
428.0000,4.0000,-0.854625
432.0000,4.0000,-0.789414
436.0000,4.0000,1.007767
440.0000,4.0000,0.376208
444.0000,4.0000,-0.181472
448.0000,4.0000,-0.676678
452.0000,4.0000,-0.519788
456.0000,4.0000,0.984104
460.0000,4.0000,-0.122139
464.0000,4.0000,-0.267713
468.0000,4.0000,0.284938
472.0000,4.0000,-1.445606
476.0000,4.0000,-0.598126
480.0000,4.0000,0.117632
484.0000,4.0000,-0.050582
488.0000,4.0000,-0.239940
492.0000,4.0000,0.397947
496.0000,4.0000,0.155865
500.0000,4.0000,-0.586400
504.0000,4.0000,-0.351319
508.0000,4.0000,0.425769
0.0000,8.0000,0.450162
4.0000,8.0000,0.023814
8.0000,8.0000,0.583550
12.0000,8.0000,-0.042661
16.0000,8.0000,-0.222414
20.0000,8.0000,-0.516350
24.0000,8.0000,-0.387470
28.0000,8.0000,-1.118892
