x_nm,y_nm,height_nm
0.0000,0.0000,3.258010
4.0000,0.0000,-1.218176
8.0000,0.0000,-0.386489
12.0000,0.0000,-0.895323
16.0000,0.0000,-2.779508
20.0000,0.0000,1.241885
24.0000,0.0000,2.765573
28.0000,0.0000,3.076659
32.0000,0.0000,0.989444
36.0000,0.0000,0.309875
40.0000,0.0000,1.023933
44.0000,0.0000,-1.011852
48.0000,0.0000,-1.645953
52.0000,0.0000,6.036745
56.0000,0.0000,3.690908
60.0000,0.0000,1.574569
64.0000,0.0000,-1.481709
68.0000,0.0000,0.459681
72.0000,0.0000,-4.588676
76.0000,0.0000,3.112904
80.0000,0.0000,-1.832023
84.0000,0.0000,-2.731748
88.0000,0.0000,0.888813
92.0000,0.0000,-3.949493
96.0000,0.0000,-0.656376
100.0000,0.0000,-1.429789
104.0000,0.0000,1.629268
108.0000,0.0000,-1.002054
112.0000,0.0000,0.217980
116.0000,0.0000,-3.177965
120.0000,0.0000,-5.619532
124.0000,0.0000,-2.105619
128.0000,0.0000,-4.842536
132.0000,0.0000,-0.047600
136.0000,0.0000,-5.986135
140.0000,0.0000,0.138154
144.0000,0.0000,-2.060714
148.0000,0.0000,0.430495
152.0000,0.0000,3.526959
156.0000,0.0000,2.109868
160.0000,0.0000,-1.900366
164.0000,0.0000,3.060148
168.0000,0.0000,-1.609930
172.0000,0.0000,0.504934
176.0000,0.0000,1.771236
180.0000,0.0000,3.088317
184.0000,0.0000,1.592644
188.0000,0.0000,-0.318012
192.0000,0.0000,0.495340
196.0000,0.0000,-2.015707
200.0000,0.0000,-2.519990
204.0000,0.0000,0.510910
208.0000,0.0000,0.673986
212.0000,0.0000,-2.354176
216.0000,0.0000,-0.727895
220.0000,0.0000,-1.243673
224.0000,0.0000,-0.316304
228.0000,0.0000,-0.641701
232.0000,0.0000,0.208750
236.0000,0.0000,-0.631068
240.0000,0.0000,3.296163
244.0000,0.0000,0.951528
248.0000,0.0000,-2.552160
252.0000,0.0000,3.013332
256.0000,0.0000,-3.185853
260.0000,0.0000,-2.606826
264.0000,0.0000,-1.371187
268.0000,0.0000,-0.204462
272.0000,0.0000,-1.964492
276.0000,0.0000,-2.358883
280.0000,0.0000,0.131874
284.0000,0.0000,-0.189231
288.0000,0.0000,-2.454484
292.0000,0.0000,3.021030
296.0000,0.0000,1.036286
300.0000,0.0000,1.106795
304.0000,0.0000,3.817854
308.0000,0.0000,0.903848
312.0000,0.0000,0.102374
316.0000,0.0000,3.250643
320.0000,0.0000,1.144216
324.0000,0.0000,2.534495
328.0000,0.0000,1.667363
332.0000,0.0000,-0.092724
336.0000,0.0000,0.833583
340.0000,0.0000,4.170475
344.0000,0.0000,3.611611
348.0000,0.0000,-3.073086
352.0000,0.0000,0.358712
356.0000,0.0000,0.695716
360.0000,0.0000,3.893799
364.0000,0.0000,3.676702
368.0000,0.0000,-2.981667
372.0000,0.0000,0.955592
376.0000,0.0000,0.159747
380.0000,0.0000,-2.666024
384.0000,0.0000,1.670930
388.0000,0.0000,-5.822989
392.0000,0.0000,-1.151930
396.0000,0.0000,-4.477028
400.0000,0.0000,-1.407857
404.0000,0.0000,-4.346911
408.0000,0.0000,-2.593301
412.0000,0.0000,-1.515175
416.0000,0.0000,0.893589
420.0000,0.0000,-1.657209
