x_nm,y_nm,height_nm
0.0000,0.0000,0.401832
4.0000,0.0000,-1.449921
8.0000,0.0000,0.283751
12.0000,0.0000,-0.010240
16.0000,0.0000,2.522098
20.0000,0.0000,0.390541
24.0000,0.0000,0.963645
28.0000,0.0000,2.056656
32.0000,0.0000,2.033306
36.0000,0.0000,0.012505
40.0000,0.0000,3.202242
44.0000,0.0000,3.466606
48.0000,0.0000,1.535727
52.0000,0.0000,2.663845
56.0000,0.0000,1.508369
60.0000,0.0000,4.796453
64.0000,0.0000,5.599049
68.0000,0.0000,1.799370
72.0000,0.0000,2.161420
76.0000,0.0000,3.832946
80.0000,0.0000,6.033010
84.0000,0.0000,3.214928
88.0000,0.0000,3.054317
92.0000,0.0000,2.440687
96.0000,0.0000,4.746523
100.0000,0.0000,5.261316
104.0000,0.0000,3.556763
108.0000,0.0000,4.997896
112.0000,0.0000,3.153486
116.0000,0.0000,2.668500
120.0000,0.0000,4.244536
124.0000,0.0000,3.495089
128.0000,0.0000,5.751609
132.0000,0.0000,4.940253
136.0000,0.0000,4.487054
140.0000,0.0000,4.118532
144.0000,0.0000,2.795892
148.0000,0.0000,2.139219
152.0000,0.0000,2.068350
156.0000,0.0000,3.480572
160.0000,0.0000,3.312713
164.0000,0.0000,2.464289
168.0000,0.0000,3.691862
172.0000,0.0000,4.214292
176.0000,0.0000,2.046660
180.0000,0.0000,-0.243503
184.0000,0.0000,2.971387
188.0000,0.0000,1.738853
192.0000,0.0000,0.918389
196.0000,0.0000,0.235240
200.0000,0.0000,1.981804
204.0000,0.0000,1.595555
208.0000,0.0000,0.013319
212.0000,0.0000,1.439962
216.0000,0.0000,0.019330
220.0000,0.0000,-0.293314
224.0000,0.0000,-0.142906
228.0000,0.0000,-2.674017
232.0000,0.0000,0.107188
236.0000,0.0000,-1.284568
240.0000,0.0000,1.338635
244.0000,0.0000,-1.481265
248.0000,0.0000,-1.932063
252.0000,0.0000,0.306098
256.0000,0.0000,-3.604773
260.0000,0.0000,37.959249
264.0000,0.0000,40.116969
268.0000,0.0000,40.279944
272.0000,0.0000,39.552721
276.0000,0.0000,40.439485
280.0000,0.0000,39.725131
284.0000,0.0000,40.637026
288.0000,0.0000,38.740733
292.0000,0.0000,39.516839
296.0000,0.0000,40.255438
300.0000,0.0000,38.736127
304.0000,0.0000,39.684708
308.0000,0.0000,38.079325
312.0000,0.0000,40.363185
316.0000,0.0000,36.575287
320.0000,0.0000,38.848910
324.0000,0.0000,37.265661
328.0000,0.0000,37.837967
332.0000,0.0000,41.211019
336.0000,0.0000,37.765321
340.0000,0.0000,39.336966
344.0000,0.0000,37.725474
348.0000,0.0000,37.727794
352.0000,0.0000,39.018657
356.0000,0.0000,38.878029
360.0000,0.0000,37.189920
364.0000,0.0000,37.978364
368.0000,0.0000,37.722334
372.0000,0.0000,40.695861
376.0000,0.0000,39.001731
380.0000,0.0000,40.880419
384.0000,0.0000,37.468559
388.0000,0.0000,38.608860
392.0000,0.0000,39.555988
396.0000,0.0000,39.728086
400.0000,0.0000,39.398110
404.0000,0.0000,37.802059
408.0000,0.0000,37.131880
412.0000,0.0000,38.976310
416.0000,0.0000,41.741913
420.0000,0.0000,39.834145
424.0000,0.0000,38.744858
428.0000,0.0000,40.769975
432.0000,0.0000,38.831227
436.0000,0.0000,39.795448
440.0000,0.0000,42.535737
444.0000,0.0000,41.039691
448.0000,0.0000,43.104985
452.0000,0.0000,42.671748
456.0000,0.0000,42.233132
460.0000,0.0000,42.113711
464.0000,0.0000,42.776438
468.0000,0.0000,41.862092
472.0000,0.0000,41.522641
476.0000,0.0000,42.321303
480.0000,0.0000,41.443630
484.0000,0.0000,41.309246
488.0000,0.0000,43.776206
492.0000,0.0000,47.158374
496.0000,0.0000,44.261348
500.0000,0.0000,44.117275
504.0000,0.0000,44.578464
508.0000,0.0000,44.571434
0.0000,4.0000,0.272228
4.0000,4.0000,-1.220791
8.0000,4.0000,-0.062925
12.0000,4.0000,0.149245
16.0000,4.0000,-0.371596
20.0000,4.0000,3.616676
24.0000,4.0000,3.631101
28.0000,4.0000,1.346917
32.0000,4.0000,2.715154
36.0000,4.0000,3.223292
40.0000,4.0000,1.610959
44.0000,4.0000,2.068449
48.0000,4.0000,0.111935
52.0000,4.0000,1.800071
56.0000,4.0000,1.821977
60.0000,4.0000,2.430108
64.0000,4.0000,2.090484
68.0000,4.0000,2.385079
72.0000,4.0000,3.893023
76.0000,4.0000,5.014192
80.0000,4.0000,3.432485
84.0000,4.0000,3.720632
88.0000,4.0000,4.493683
92.0000,4.0000,4.634038
96.0000,4.0000,3.781261
100.0000,4.0000,3.593066
104.0000,4.0000,5.097987
108.0000,4.0000,4.155998
112.0000,4.0000,2.257598
116.0000,4.0000,0.969456
120.0000,4.0000,4.764236
124.0000,4.0000,4.519745
128.0000,4.0000,4.022576
132.0000,4.0000,3.025280
136.0000,4.0000,3.982997
140.0000,4.0000,4.299537
144.0000,4.0000,3.457341
148.0000,4.0000,3.685604
152.0000,4.0000,3.463123
156.0000,4.0000,2.031815
160.0000,4.0000,3.301397
164.0000,4.0000,4.687064
168.0000,4.0000,1.225357
172.0000,4.0000,2.414812
