x_nm,y_nm,height_nm
0.0000,0.0000,0.366980
4.0000,0.0000,-0.002224
8.0000,0.0000,-0.022514
12.0000,0.0000,-0.243052
16.0000,0.0000,0.528117
20.0000,0.0000,0.457762
24.0000,0.0000,0.784480
28.0000,0.0000,0.609617
32.0000,0.0000,0.780488
36.0000,0.0000,1.064282
40.0000,0.0000,0.840370
44.0000,0.0000,1.066316
48.0000,0.0000,1.234377
52.0000,0.0000,1.980216
56.0000,0.0000,2.013244
60.0000,0.0000,1.753016
64.0000,0.0000,1.557833
68.0000,0.0000,1.701047
72.0000,0.0000,1.969641
76.0000,0.0000,1.911341
80.0000,0.0000,2.909210
84.0000,0.0000,2.190490
88.0000,0.0000,2.621370
92.0000,0.0000,3.007631
96.0000,0.0000,2.756574
100.0000,0.0000,3.220174
104.0000,0.0000,3.758474
108.0000,0.0000,2.813711
112.0000,0.0000,3.932695
116.0000,0.0000,3.963401
120.0000,0.0000,3.914203
124.0000,0.0000,3.698806
128.0000,0.0000,3.989448
132.0000,0.0000,4.269717
136.0000,0.0000,3.522562
140.0000,0.0000,4.205949
144.0000,0.0000,4.675237
148.0000,0.0000,4.461880
152.0000,0.0000,4.559159
156.0000,0.0000,5.160946
160.0000,0.0000,4.208633
164.0000,0.0000,4.873968
168.0000,0.0000,4.490726
172.0000,0.0000,5.714578
176.0000,0.0000,4.967271
180.0000,0.0000,5.644148
184.0000,0.0000,4.791783
188.0000,0.0000,5.821852
192.0000,0.0000,5.142687
196.0000,0.0000,6.108223
200.0000,0.0000,5.300132
204.0000,0.0000,6.146036
208.0000,0.0000,6.918280
212.0000,0.0000,7.271070
216.0000,0.0000,6.721192
220.0000,0.0000,7.201171
224.0000,0.0000,6.705775
228.0000,0.0000,6.789371
232.0000,0.0000,7.037429
236.0000,0.0000,31.927823
240.0000,0.0000,32.666688
244.0000,0.0000,31.820584
248.0000,0.0000,32.276068
252.0000,0.0000,32.747338
256.0000,0.0000,33.393245
260.0000,0.0000,32.885596
264.0000,0.0000,33.407212
268.0000,0.0000,33.167638
272.0000,0.0000,32.832379
276.0000,0.0000,33.112232
280.0000,0.0000,33.384516
284.0000,0.0000,33.163226
288.0000,0.0000,33.071225
292.0000,0.0000,34.294610
296.0000,0.0000,34.321285
300.0000,0.0000,34.322143
304.0000,0.0000,34.199102
308.0000,0.0000,34.578476
312.0000,0.0000,34.299592
316.0000,0.0000,33.914823
320.0000,0.0000,34.481866
324.0000,0.0000,34.577215
328.0000,0.0000,35.266799
332.0000,0.0000,34.976887
336.0000,0.0000,34.341199
340.0000,0.0000,35.486179
344.0000,0.0000,35.357352
348.0000,0.0000,35.305857
352.0000,0.0000,35.407654
356.0000,0.0000,35.467087
360.0000,0.0000,36.107456
364.0000,0.0000,35.773647
368.0000,0.0000,35.829050
372.0000,0.0000,36.336701
376.0000,0.0000,35.726625
