wavenumber_cm-1,acrylic_absorbance,epoxy_absorbance,polyurethane_absorbance
4000.00,0.036759,0.053242,0.049136
3998.00,0.036287,0.051909,0.048851
3996.00,0.038121,0.050867,0.048361
3994.00,0.037659,0.050902,0.049553
3992.00,0.038602,0.053766,0.049246
3990.00,0.038802,0.054249,0.048952
3988.00,0.038249,0.053116,0.048721
3986.00,0.037272,0.052039,0.050657
3984.00,0.037732,0.054713,0.051110
3982.00,0.037354,0.054569,0.050737
3980.00,0.039047,0.054388,0.052166
3978.00,0.039373,0.054234,0.050412
3976.00,0.037994,0.055216,0.051555
3974.00,0.037671,0.054200,0.052857
3972.00,0.038909,0.055565,0.049854
3970.00,0.039907,0.054963,0.051362
3968.00,0.039310,0.054341,0.052583
3966.00,0.039771,0.056349,0.052254
3964.00,0.038717,0.056099,0.053190
3962.00,0.040137,0.055778,0.052243
3960.00,0.039003,0.053824,0.051828
3958.00,0.040222,0.054534,0.050966
3956.00,0.040564,0.056352,0.051432
3954.00,0.040021,0.054459,0.053377
3952.00,0.040304,0.056374,0.052465
3950.00,0.041093,0.054804,0.054125
3948.00,0.040081,0.056360,0.054235
3946.00,0.040294,0.056728,0.054316
3944.00,0.040158,0.057542,0.055165
3942.00,0.041414,0.058382,0.053905
3940.00,0.039683,0.058386,0.054607
3938.00,0.040563,0.056750,0.052565
3936.00,0.040189,0.056495,0.055324
3934.00,0.042200,0.057381,0.056043
3932.00,0.041262,0.057746,0.056016
3930.00,0.041766,0.056696,0.055248
3928.00,0.041085,0.057677,0.053567
3926.00,0.041006,0.059784,0.055309
3924.00,0.040601,0.058673,0.054643
3922.00,0.042187,0.060007,0.055117
3920.00,0.042548,0.058922,0.056741
3918.00,0.040978,0.059210,0.055682
3916.00,0.042739,0.058943,0.055286
3914.00,0.041692,0.057895,0.056405
3912.00,0.042859,0.057658,0.054740
3910.00,0.042832,0.058628,0.055396
3908.00,0.043596,0.061275,0.057296
3906.00,0.041479,0.058138,0.056705
3904.00,0.042139,0.059427,0.057838
3902.00,0.042637,0.061680,0.056098
3900.00,0.043217,0.058801,0.055926
3898.00,0.042860,0.059837,0.057877
3896.00,0.043111,0.059363,0.057387
3894.00,0.042231,0.059532,0.058326
3892.00,0.044020,0.059940,0.057533
3890.00,0.042655,0.061387,0.056204
3888.00,0.042829,0.060596,0.058382
3886.00,0.043422,0.062020,0.056291
3884.00,0.043020,0.062836,0.057681
3882.00,0.042721,0.061216,0.057033
3880.00,0.044613,0.059984,0.058201
3878.00,0.043067,0.060459,0.059906
3876.00,0.043600,0.063102,0.058571
3874.00,0.044398,0.063062,0.057094
3872.00,0.044314,0.061000,0.058198
3870.00,0.045590,0.062913,0.059840
3868.00,0.044972,0.062276,0.058719
3866.00,0.043418,0.060973,0.060392
3864.00,0.045599,0.061652,0.058526
3862.00,0.044248,0.062443,0.058472
3860.00,0.044183,0.063023,0.060388
3858.00,0.044170,0.061165,0.060812
3856.00,0.045071,0.061977,0.059264
3854.00,0.045327,0.062442,0.060858
3852.00,0.043930,0.063655,0.058895
3850.00,0.043958,0.062073,0.060760
3848.00,0.044157,0.063414,0.059716
3846.00,0.046218,0.063890,0.061281
3844.00,0.045329,0.061857,0.058634
3842.00,0.045102,0.063927,0.059803
3840.00,0.045554,0.063172,0.061412
3838.00,0.046580,0.063893,0.059741
3836.00,0.045318,0.063878,0.061024
3834.00,0.044866,0.062697,0.061024
3832.00,0.046758,0.062936,0.061287
3830.00,0.046929,0.062423,0.061666
3828.00,0.044961,0.065296,0.060176
3826.00,0.045591,0.062585,0.059654
3824.00,0.047026,0.064888,0.060501
3822.00,0.046357,0.064562,0.061379
3820.00,0.045228,0.063860,0.060875
3818.00,0.045524,0.064551,0.060521
3816.00,0.046408,0.063194,0.059605
3814.00,0.047197,0.063688,0.059913
3812.00,0.045377,0.063946,0.061449
3810.00,0.045004,0.063434,0.060887
3808.00,0.045235,0.063448,0.061146
3806.00,0.046545,0.063260,0.062049
3804.00,0.044981,0.064456,0.060951
3802.00,0.046838,0.065225,0.062139
3800.00,0.046046,0.065875,0.059731
3798.00,0.045393,0.066060,0.062034
3796.00,0.046969,0.065184,0.062970
3794.00,0.047254,0.065333,0.059909
3792.00,0.046290,0.063378,0.062756
3790.00,0.045484,0.063836,0.062675
3788.00,0.047106,0.065810,0.060309
3786.00,0.046004,0.066287,0.060646
3784.00,0.047447,0.064892,0.061198
3782.00,0.046133,0.065583,0.063070
3780.00,0.047595,0.064216,0.060465
3778.00,0.047560,0.064685,0.061591
3776.00,0.046198,0.066622,0.062791
3774.00,0.046519,0.064919,0.062406
3772.00,0.046542,0.065690,0.061122
3770.00,0.047088,0.064179,0.063046
3768.00,0.045837,0.063887,0.059986
3766.00,0.045292,0.065270,0.061077
3764.00,0.046698,0.065171,0.060349
3762.00,0.045392,0.063264,0.061920
3760.00,0.046146,0.065985,0.059907
3758.00,0.046221,0.065776,0.060527
3756.00,0.046125,0.066566,0.060162
3754.00,0.045375,0.065358,0.062781
3752.00,0.047173,0.065495,0.060634
3750.00,0.045237,0.063803,0.062927
3748.00,0.045654,0.064258,0.059728
3746.00,0.046020,0.064688,0.059739
3744.00,0.047019,0.064749,0.062311
3742.00,0.046568,0.065359,0.062223
3740.00,0.046476,0.064973,0.060489
3738.00,0.044956,0.064677,0.062247
3736.00,0.046096,0.065526,0.059671
3734.00,0.046679,0.063489,0.061417
3732.00,0.045659,0.063590,0.061504
3730.00,0.046049,0.064372,0.061749
3728.00,0.044790,0.065512,0.060423
3726.00,0.044862,0.065381,0.059273
3724.00,0.045614,0.063615,0.059505
3722.00,0.045760,0.064002,0.060374
3720.00,0.046933,0.063197,0.061460
3718.00,0.046691,0.064612,0.061101
3716.00,0.045172,0.064304,0.059778
3714.00,0.045123,0.065103,0.060789
3712.00,0.046016,0.063030,0.061055
3710.00,0.045024,0.062694,0.061856
3708.00,0.045182,0.063806,0.059939
3706.00,0.045821,0.062563,0.060113
3704.00,0.044547,0.062987,0.058628
3702.00,0.045284,0.062757,0.058709
3700.00,0.043979,0.062755,0.060656
3698.00,0.045741,0.062364,0.060851
3696.00,0.044561,0.062175,0.058704
3694.00,0.045478,0.063109,0.059508
3692.00,0.044149,0.062951,0.059810
3690.00,0.043869,0.061719,0.060131
3688.00,0.045535,0.061674,0.059928
3686.00,0.044650,0.061088,0.058952
3684.00,0.045714,0.063773,0.060115
3682.00,0.044008,0.061868,0.059528
3680.00,0.045649,0.061508,0.058798
3678.00,0.044834,0.061398,0.059275
3676.00,0.043309,0.063140,0.057972
3674.00,0.043811,0.062558,0.060304
3672.00,0.044144,0.060716,0.058603
3670.00,0.044198,0.062698,0.057489
3668.00,0.043548,0.060255,0.058936
3666.00,0.043095,0.060495,0.058995
3664.00,0.042766,0.062018,0.057619
3662.00,0.042879,0.061768,0.057508
3660.00,0.044809,0.059575,0.059309
3658.00,0.044609,0.060283,0.058052
3656.00,0.043678,0.060705,0.056317
3654.00,0.043841,0.060586,0.057059
3652.00,0.044275,0.061556,0.056412
3650.00,0.043465,0.061637,0.056227
3648.00,0.043827,0.061511,0.058000
3646.00,0.043063,0.061972,0.057581
3644.00,0.042573,0.058801,0.058474
3642.00,0.041960,0.060291,0.056722
3640.00,0.043409,0.058659,0.058322
3638.00,0.043449,0.060310,0.058336
3636.00,0.043769,0.061145,0.057407
3634.00,0.042384,0.060387,0.056544
3632.00,0.042708,0.059252,0.056269
3630.00,0.042682,0.060374,0.055971
3628.00,0.041421,0.059169,0.055133
3626.00,0.041594,0.059008,0.056230
3624.00,0.043296,0.059100,0.055405
3622.00,0.042902,0.059627,0.057814
3620.00,0.042976,0.057773,0.055138
3618.00,0.040801,0.058951,0.055443
3616.00,0.042092,0.059090,0.056920
3614.00,0.042828,0.058876,0.057656
3612.00,0.041449,0.058030,0.057462
3610.00,0.042142,0.058967,0.056065
3608.00,0.041792,0.056487,0.056366
3606.00,0.040335,0.057663,0.054658
3604.00,0.041738,0.057774,0.055877
3602.00,0.041381,0.058812,0.055161
3600.00,0.041331,0.057986,0.054961
3598.00,0.040812,0.055738,0.056157
3596.00,0.042123,0.058261,0.057799
3594.00,0.040004,0.058840,0.055972
3592.00,0.041291,0.055317,0.056611
3590.00,0.041649,0.058172,0.057069
3588.00,0.041051,0.057831,0.057879
3586.00,0.041297,0.057575,0.057913
3584.00,0.040399,0.055737,0.056130
3582.00,0.040258,0.057900,0.058422
3580.00,0.040497,0.055896,0.056329
3578.00,0.039913,0.055544,0.058928
3576.00,0.039254,0.056101,0.058015
3574.00,0.040922,0.056100,0.058837
3572.00,0.039408,0.054385,0.058945
3570.00,0.040881,0.056812,0.059087
3568.00,0.039862,0.056977,0.059957
3566.00,0.038410,0.056996,0.059335
3564.00,0.038710,0.056140,0.058538
3562.00,0.039931,0.053771,0.059019
3560.00,0.040088,0.053470,0.059802
3558.00,0.038539,0.055712,0.062459
3556.00,0.040101,0.053606,0.060806
3554.00,0.039287,0.055606,0.060393
3552.00,0.038747,0.053203,0.063823
3550.00,0.038586,0.055506,0.062589
3548.00,0.039196,0.054691,0.064381
3546.00,0.039890,0.054579,0.064894
3544.00,0.038178,0.056002,0.067160
3542.00,0.039052,0.053415,0.066652
3540.00,0.038274,0.055002,0.068362
3538.00,0.039084,0.053619,0.069812
3536.00,0.038595,0.054989,0.070250
3534.00,0.039537,0.055410,0.070448
3532.00,0.038382,0.054507,0.072052
3530.00,0.038234,0.054080,0.071698
3528.00,0.038504,0.053836,0.075456
3526.00,0.039023,0.054306,0.077017
3524.00,0.037098,0.053690,0.078401
3522.00,0.038911,0.054351,0.079042
3520.00,0.038586,0.053442,0.079694
3518.00,0.037635,0.051976,0.082352
3516.00,0.039055,0.051589,0.084227
3514.00,0.038848,0.053029,0.087834
3512.00,0.037495,0.052737,0.086921
3510.00,0.038231,0.053824,0.089646
3508.00,0.037486,0.051081,0.091807
3506.00,0.036863,0.051560,0.094805
3504.00,0.037344,0.053731,0.096789
3502.00,0.038329,0.054223,0.100289
3500.00,0.037734,0.053349,0.103662
3498.00,0.037270,0.050820,0.107061
3496.00,0.036246,0.052062,0.107334
3494.00,0.037079,0.051715,0.112797
3492.00,0.037498,0.053809,0.115171
3490.00,0.036675,0.053757,0.117043
3488.00,0.036378,0.052976,0.122252
3486.00,0.037232,0.053056,0.124865
3484.00,0.036828,0.052627,0.129816
3482.00,0.037747,0.050849,0.134147
3480.00,0.037189,0.050334,0.137496
3478.00,0.037379,0.050389,0.140208
3476.00,0.037016,0.050213,0.144695
3474.00,0.038278,0.052893,0.148823
3472.00,0.036893,0.050509,0.155043
3470.00,0.037118,0.050610,0.157836
3468.00,0.037186,0.052283,0.164579
3466.00,0.037919,0.052639,0.167645
3464.00,0.037440,0.051310,0.175149
3462.00,0.035893,0.050458,0.178651
3460.00,0.037625,0.050314,0.186441
3458.00,0.037914,0.053228,0.189331
3456.00,0.036409,0.053146,0.197592
3454.00,0.035934,0.051539,0.200886
3452.00,0.038041,0.050874,0.209051
3450.00,0.037812,0.051031,0.214668
3448.00,0.037419,0.052090,0.221304
3446.00,0.036535,0.050602,0.228468
3444.00,0.036276,0.052707,0.235008
3442.00,0.038158,0.052085,0.240111
3440.00,0.035734,0.052859,0.245719
3438.00,0.036801,0.052980,0.252936
3436.00,0.036205,0.052268,0.261033
3434.00,0.035790,0.050078,0.268291
3432.00,0.035980,0.052059,0.275103
3430.00,0.037901,0.050201,0.281426
3428.00,0.037587,0.052609,0.288316
3426.00,0.035869,0.051289,0.297205
3424.00,0.036217,0.051444,0.304223
3422.00,0.036178,0.050390,0.311781
3420.00,0.036893,0.050724,0.318558
3418.00,0.038242,0.052413,0.326839
3416.00,0.038260,0.052276,0.334482
3414.00,0.036863,0.052559,0.343352
3412.00,0.036381,0.051033,0.351384
3410.00,0.038259,0.052696,0.358492
3408.00,0.037208,0.051771,0.365234
3406.00,0.036939,0.053743,0.374193
3404.00,0.038374,0.053655,0.382976
3402.00,0.036236,0.054046,0.389944
3400.00,0.038444,0.053071,0.396223
3398.00,0.038016,0.051011,0.403958
3396.00,0.036705,0.052811,0.412801
3394.00,0.038366,0.053765,0.418796
3392.00,0.036636,0.051550,0.427014
3390.00,0.037148,0.053534,0.434122
3388.00,0.037594,0.052034,0.441814
3386.00,0.036882,0.053439,0.450760
3384.00,0.037854,0.052573,0.456492
3382.00,0.038565,0.054884,0.462738
3380.00,0.038808,0.052763,0.470599
3378.00,0.038990,0.053037,0.476797
3376.00,0.038450,0.053821,0.482667
3374.00,0.037445,0.052543,0.489729
3372.00,0.038571,0.052276,0.495758
3370.00,0.039196,0.054882,0.500135
3368.00,0.038076,0.052921,0.506122
3366.00,0.038574,0.052568,0.510619
3364.00,0.038326,0.055226,0.515622
3362.00,0.038741,0.054396,0.521053
3360.00,0.039255,0.054300,0.525634
3358.00,0.038342,0.053140,0.529974
3356.00,0.038586,0.054766,0.535221
3354.00,0.040169,0.054055,0.540221
3352.00,0.038263,0.053504,0.543702
3350.00,0.040028,0.056127,0.546962
3348.00,0.038451,0.056338,0.549379
3346.00,0.039004,0.056182,0.553066
3344.00,0.038764,0.055579,0.553351
3342.00,0.038417,0.056304,0.556839
3340.00,0.040275,0.054984,0.557519
3338.00,0.040286,0.055971,0.560201
3336.00,0.039229,0.057465,0.560172
3334.00,0.040968,0.057616,0.563761
3332.00,0.039273,0.056534,0.564393
3330.00,0.040212,0.057664,0.564303
3328.00,0.039340,0.055475,0.563919
3326.00,0.041002,0.055983,0.561895
3324.00,0.040966,0.056237,0.561709
3322.00,0.040643,0.058055,0.560099
3320.00,0.040497,0.057487,0.559085
3318.00,0.041629,0.058379,0.559801
3316.00,0.041307,0.057382,0.557483
3314.00,0.040880,0.058205,0.554498
3312.00,0.041662,0.059176,0.551957
3310.00,0.042128,0.056050,0.548297
3308.00,0.040589,0.057878,0.545221
3306.00,0.041091,0.056362,0.542738
3304.00,0.041405,0.057622,0.537232
3302.00,0.040810,0.059751,0.535259
3300.00,0.041015,0.057815,0.531282
3298.00,0.041836,0.060009,0.527782
3296.00,0.041486,0.057068,0.522376
3294.00,0.042931,0.059867,0.515389
3292.00,0.042421,0.060290,0.510678
3290.00,0.043440,0.060697,0.506475
3288.00,0.041970,0.058538,0.501142
3286.00,0.043750,0.058168,0.496261
3284.00,0.043395,0.058173,0.487886
3282.00,0.043466,0.061364,0.481763
3280.00,0.043980,0.059467,0.475144
3278.00,0.042436,0.060857,0.468464
3276.00,0.043703,0.061397,0.463075
