id,image,description,left,top,right,bottom,app_version
avantage-target-001-01,avantage_empty_workspace.png,"The blue-and-black tool icon on the left vertical toolbar, directly below the microscope icon.",3,372,45,415,unknown
avantage-target-001-02,avantage_empty_workspace.png,the gray instrument icon for Scanned View on the left vertical toolbar,3,372,45,415,unknown
avantage-target-002-01,avantage_empty_workspace.png,"The  square button with a pale yellow grid and small arrow marks on the left vertical toolbar, below the platter-grid icon.",3,465,45,507,unknown
avantage-target-002-02,avantage_empty_workspace.png,"The  grid-like icon in the lower half of the left toolbar, immediately above the colored stacked-bars button.",3,465,45,507,unknown
avantage-target-002-03,avantage_empty_workspace.png,the yellow table icon with a small white overlay for New Processing View on the left vertical toolbar,3,465,45,507,unknown
avantage-target-003-01,avantage_empty_workspace.png,"The white page icon at the very top of the left vertical toolbar, above the yellow folder icon.",3,71,45,114,unknown
avantage-target-003-02,avantage_empty_workspace.png,The blank-document-shaped button in the first slot of the far-left toolbar.,3,71,45,114,unknown
avantage-target-003-03,avantage_empty_workspace.png,the blank white document icon with a yellow folded corner for creating a new document/view,3,71,45,114,unknown
avantage-target-004-01,avantage_empty_workspace.png,The  button with a red check mark over a green shape on the lower left vertical toolbar.,3,565,45,607,unknown
avantage-target-004-02,avantage_empty_workspace.png,"The colorful check-mark icon in the left toolbar, directly below the multicolored stacked-bars icon.",3,565,45,607,unknown
avantage-target-004-03,avantage_empty_workspace.png,the green checkmark and red X icon for User Preferences on the left vertical toolbar,3,565,45,607,unknown
avantage-target-005-01,avantage_empty_workspace.png,"The printer-shaped icon on the left vertical toolbar, below the pale green floppy-disk icon.",3,239,45,281,unknown
avantage-target-005-02,avantage_empty_workspace.png,the gray printer icon on the left vertical toolbar,3,239,45,281,unknown
avantage-target-006-01,avantage_empty_workspace.png,"The  left-toolbar button with several small red, green, and blue horizontal blocks, just above the red-and-green check mark.",3,515,45,557,unknown
avantage-target-006-02,avantage_empty_workspace.png,The  multicolored stacked-bars icon near the bottom of the left vertical toolbar.,3,515,45,557,unknown
avantage-target-006-03,avantage_empty_workspace.png,the green-and-red branching flowchart icon for Experiment and Properties Views,3,515,45,557,unknown
avantage-target-007-01,avantage_empty_workspace.png,"The pale green floppy-disk icon on the left toolbar, below the import-document icon.",3,197,45,240,unknown
avantage-target-007-02,avantage_empty_workspace.png,the green floppy-disk Save Document icon on the left vertical toolbar,3,197,45,240,unknown
avantage-target-008-01,avantage_empty_workspace.png,"The  square icon showing a small grid of pale cells on the left toolbar, above the yellow-grid processing button.",3,415,45,457,unknown
avantage-target-008-02,avantage_empty_workspace.png,"The  platter-like grid button in the left vertical toolbar, positioned between the scanning icon and the grid-with-arrows icon.",3,415,45,457,unknown
avantage-target-008-03,avantage_empty_workspace.png,the gray square grid icon with white plus signs for Platter View,3,415,45,457,unknown
avantage-target-009-01,avantage_empty_workspace.png,"The  button with a red peak curve on the left vertical toolbar, directly below the printer icon.",3,289,45,331,unknown
avantage-target-009-02,avantage_empty_workspace.png,"The  red-spectrum-curve icon in the left toolbar, between the printer and microscope icons.",3,289,45,331,unknown
avantage-target-009-03,avantage_empty_workspace.png,the plot icon showing a red curve over a yellow baseline for Current Data View,3,289,45,331,unknown
avantage-target-010-01,avantage_empty_workspace.png,"The document-and-yellow-arrow icon in the left toolbar, below the yellow folder button.",3,155,45,197,unknown
avantage-target-010-02,avantage_empty_workspace.png,the document icon with a blue curved arrow for importing data files,3,155,45,197,unknown
avantage-target-011-01,avantage_empty_workspace.png,The bright yellow folder icon in the second slot of the far-left vertical toolbar.,3,112,45,155,unknown
avantage-target-011-02,avantage_empty_workspace.png,"The  open-folder-shaped button on the left toolbar, directly below the white blank-page icon.",3,112,45,155,unknown
avantage-target-011-03,avantage_empty_workspace.png,yellow folder Open Document button in the left vertical toolbar,3,112,45,155,unknown
avantage-target-012-01,avantage_empty_workspace.png,The  blue question-mark icon over a small monitor at the bottom of the left vertical toolbar.,3,615,45,657,unknown
avantage-target-012-02,avantage_empty_workspace.png,The  help-like monitor-and-question-mark button directly above the small blue sidebar arrow.,3,615,45,657,unknown
avantage-target-012-03,avantage_empty_workspace.png,The square blue-and-white icon with a question mark near the lower end of the far-left toolbar.,3,615,45,657,unknown
avantage-target-012-04,avantage_empty_workspace.png,help button with a green question mark on the left vertical toolbar,3,615,45,657,unknown
avantage-target-013-01,avantage_empty_workspace.png,"The small down-arrow menu button at the bottom of the left vertical toolbar, beneath the monitor question-mark icon.",3,663,45,687,unknown
avantage-target-013-02,avantage_empty_workspace.png,Toolbar Options button at the bottom of the left vertical toolbar,3,663,45,687,unknown
avantage-target-014-01,avantage_empty_workspace.png,"The  microscope-shaped icon on the left vertical toolbar, below the red spectrum-curve icon.",3,331,45,374,unknown
avantage-target-014-02,avantage_empty_workspace.png,"The  black microscope graphic in the far-left toolbar, immediately above the dark scanning-style icon.",3,331,45,374,unknown
avantage-target-014-03,avantage_empty_workspace.png,microscope-shaped Optical View button on the left vertical toolbar,3,331,45,374,unknown
avantage-target-015-01,avantage_empty_workspace.png,"The Reset button in the bottom action row of the left properties pane, to the right of Apply.",388,1061,468,1085,unknown
